iteration,loss-average
1,5.8119425773620605
2,5.8124005985260006
3,5.812704319572449
4,5.81254262896347
5,5.812701011384811
6,5.812784891318858
7,5.813081727595875
8,5.8131657465778925
9,5.813266977468478
10,5.813212928278606
11,5.813115785878194
12,5.81324793274608
13,5.813431071320162
14,5.813421090183065
15,5.813550011061289
16,5.813403459616309
17,5.813763312482088
18,5.813983483854517
19,5.813884453444395
20,5.8142147927873715
21,5.814292820692611
22,5.814465218139232
23,5.814562642063191
24,5.81453152677991
25,5.814745145817066
26,5.814590131664152
27,5.814684933339952
28,5.814318301476131
29,5.814668144934523
30,5.81472447914887
31,5.814579691638036
32,5.814289837307228
33,5.813946089587572
34,5.813989217890424
35,5.814369465804955
36,5.814561511455897
37,5.8148562511517055
38,5.81468470024061
39,5.814944608454426
40,5.814773836707701
41,5.81500840643656
42,5.814909209911222
43,5.814620175264389
44,5.814366256332466
45,5.814418214195318
46,5.814452577114781
47,5.814560772886939
48,5.814273032618408
49,5.814430786382545
50,5.8143340251318225
51,5.813956806604284
52,5.814030009263092
53,5.813568968175121
54,5.813406673894626
55,5.813292734294907
56,5.81283565264978
57,5.812731159369123
58,5.8125380138428735
59,5.811982024379004
60,5.8119224414170585
61,5.811668222630221
62,5.811500417564824
63,5.8109890695681425
64,5.810626689070944
65,5.810609080597753
66,5.810224535704548
67,5.809994414039529
68,5.8098068891925765
69,5.809601962346226
70,5.808886121295712
71,5.808241960576341
72,5.808109216320258
73,5.807851000804888
74,5.807670228576266
75,5.808012080428691
76,5.807476295225757
77,5.8071438584020525
78,5.806561360262331
79,5.806137635422197
80,5.805629573494393
81,5.805040205901458
82,5.804628259815655
83,5.804097017785236
84,5.8039066198642235
85,5.803272651743063
86,5.803009372322704
87,5.802557772141264
88,5.8021712704765145
89,5.802082406300505
90,5.801348022502498
91,5.800856845820148
92,5.800387175181821
93,5.8004743356241075
94,5.800089648640019
95,5.799824292511091
96,5.799365192601421
97,5.798819153855594
98,5.798411542140786
99,5.797829797351437
100,5.797306779895619
101,5.796971463160622
102,5.7962002143631075
103,5.795451037651529
104,5.794601240073547
105,5.794020170319683
106,5.793460373144979
107,5.7928516141378905
108,5.792221909201935
109,5.791273625421583
110,5.790582630528508
111,5.789692452374726
112,5.788902522928672
113,5.787726961941534
114,5.787110142810736
115,5.786337803846123
116,5.785563030267369
117,5.784906405663609
118,5.784250115242598
119,5.783590995658693
120,5.782996709467443
121,5.782529589151385
122,5.781490842384837
123,5.780515909875519
124,5.779858146380768
125,5.779035963998196
126,5.777966810880342
127,5.776804208900406
128,5.775576596402085
129,5.774891819997725
130,5.774128289933219
131,5.773255909757723
132,5.772265812924873
133,5.771329449760858
134,5.770387161379044
135,5.769711111419285
136,5.768870216751324
137,5.767661570808632
138,5.766409215246951
139,5.76560413656335
140,5.7642499262228295
141,5.76324166109681
142,5.761993274942134
143,5.760959046421441
144,5.760057740401459
145,5.759010771842209
146,5.75782817794162
147,5.756825953219457
148,5.755858287914833
149,5.7549632863105895
150,5.753610978363309
151,5.752383201163596
152,5.751150005524114
153,5.74972099383221
154,5.7482805175896
155,5.7469776555746
156,5.745749869659763
157,5.744293105146206
158,5.742925547868111
159,5.741615878387189
160,5.7403931132028685
161,5.738633766258635
162,5.737679831778189
163,5.736772680226244
164,5.73498885816774
165,5.733365634349112
166,5.7317558396675015
167,5.730521020039069
168,5.728675549436871
169,5.727417725627699
170,5.725800193487581
171,5.724176998532014
172,5.72242338943906
173,5.721040927357065
174,5.719524314132189
175,5.718024300261655
176,5.716311729142897
177,5.7143838233411675
178,5.712597968392289
179,5.710700430640044
180,5.708760563338888
181,5.706755933889737
182,5.704830831462553
183,5.703365764668508
184,5.701424265720353
185,5.699493100962586
186,5.697665018347021
187,5.695881126778299
188,5.693871110367611
189,5.692003346973735
190,5.6900648589374585
191,5.688159533056926
192,5.685912007450109
193,5.683841716519857
194,5.681736394411749
195,5.679250357700883
196,5.677244988074332
197,5.675195859720926
198,5.672919025732684
199,5.6705244307710085
200,5.667799586305369
201,5.665638739232582
202,5.663266411301568
203,5.660878482520117
204,5.658089875577234
205,5.65549068869191
206,5.652717178629009
207,5.649908415729647
208,5.647047004312027
209,5.644320059205644
210,5.6412043661056375
211,5.638472594457353
212,5.635745771810149
213,5.6325065071613
214,5.629588213337043
215,5.626396378116933
216,5.622916273506864
217,5.619631169624862
218,5.616291795591495
219,5.613131370675149
220,5.609529889425587
221,5.606012940471303
222,5.6022837567961545
223,5.59842981025215
224,5.594603113155994
225,5.590446293736502
226,5.5860870806150675
227,5.582156495771565
228,5.577981494060479
229,5.573217709211008
230,5.568701530457085
231,5.564342871170576
232,5.560392143889375
233,5.555932967774893
234,5.551321037545373
235,5.546636932468293
236,5.541911984193684
237,5.537359907839888
238,5.532416132610947
239,5.527962649436267
240,5.523163541634919
241,5.51821021953269
242,5.512591527150702
243,5.507540244779686
244,5.502080601993467
245,5.49650140374144
246,5.490830790339462
247,5.4852369299648025
248,5.479421647160795
249,5.473379356795704
250,5.467346513541015
251,5.461101237322929
252,5.454832045752129
253,5.448677385199025
254,5.442466469865039
255,5.436362072642421
256,5.430088864087521
257,5.423692315611313
258,5.416726352370986
259,5.4106803003601875
260,5.403816229341388
261,5.39716547619621
262,5.390380480423506
263,5.382903175914523
264,5.375969723678581
265,5.368786137005301
266,5.361657167957822
267,5.354470964448519
268,5.347615147683352
269,5.340532305789255
270,5.333427956594246
271,5.326391536668294
272,5.319090142549918
273,5.312038612373479
274,5.305215869911166
275,5.297698045051394
276,5.290122446806007
277,5.283341146551527
278,5.276165172161757
279,5.2687242776235514
280,5.261376525469518
281,5.254203842677413
282,5.246761968201184
283,5.239768556611208
284,5.232243855416118
285,5.225239187505793
286,5.2180066091084605
287,5.210365074338401
288,5.203005621743845
