iteration,loss-average
1,5.782646179199219
2,5.78280948638916
3,5.783122163009644
4,5.783197224708557
5,5.783648678621368
6,5.783962614915274
7,5.784150510062647
8,5.78463656152216
9,5.78496844844052
10,5.784981712604645
11,5.785328268614393
12,5.7853372260082185
13,5.785851508862322
14,5.786315423127824
15,5.786637059687851
16,5.786492029828322
17,5.7867195542677665
18,5.787032202214394
19,5.787159344577576
20,5.787588404619008
21,5.78760276125197
22,5.787692876742263
23,5.788098935131489
24,5.788109337257716
25,5.788318277068958
26,5.788702052289908
27,5.788974315946869
28,5.788853379890383
29,5.788990571249484
30,5.788846049970368
31,5.788969092349866
32,5.789153131370789
33,5.789137080385829
34,5.789296816958044
35,5.789454512744737
36,5.789717010548315
37,5.789898593875557
38,5.790056632816527
39,5.790282473884562
40,5.790289164189586
41,5.790354295365023
42,5.790503468231527
43,5.790448279772048
44,5.790125659467744
45,5.7903173517532425
46,5.7901276886781385
47,5.78984513536234
48,5.789378881077334
49,5.789129976856666
50,5.78917271568318
51,5.7893439942644145
52,5.789190888182837
53,5.78891431071459
54,5.789044361139703
55,5.788793974328896
56,5.78866853887308
57,5.788387950688391
58,5.787978534799013
59,5.787844707969
60,5.787515098050342
61,5.7874679592363085
62,5.787381823318183
63,5.786901043999037
64,5.786603229646766
65,5.7861569907832004
66,5.785971732818733
67,5.785742982671636
68,5.785769156572281
69,5.785531335391519
70,5.7857616800582
71,5.785580961837895
72,5.785198055064516
73,5.784831694671234
74,5.784420629015114
75,5.784256928043699
76,5.783884604195349
77,5.783767920564811
78,5.78365039487141
79,5.7835490670429515
80,5.783225928872259
81,5.782568372117323
82,5.782293505758351
83,5.781915837471186
84,5.781423823898643
85,5.780784513680436
86,5.780216497585904
87,5.779811399735627
88,5.779323852466012
89,5.778791582264836
90,5.7783817471710535
91,5.778032818358614
92,5.777333030445422
93,5.776873020684903
94,5.7763423981160535
95,5.77598848945427
96,5.7757963354031
97,5.775299558475312
98,5.774791488295796
99,5.774243769110325
100,5.773833747625214
101,5.773596292338237
102,5.773049846380388
103,5.77252033748989
104,5.771890306182597
105,5.771489245130356
106,5.770965742652675
107,5.770117951466003
108,5.769359128050696
109,5.76847362204913
110,5.767829434184563
111,5.767424084133074
112,5.766865183749241
113,5.7663099750297
114,5.76575688687249
115,5.764944493809723
116,5.764373329916195
117,5.763745582785034
118,5.76297861332904
119,5.762166024399862
120,5.761450482537353
121,5.7604983111892185
122,5.759599439249492
123,5.758843409326806
124,5.758153292696667
125,5.756895094014975
126,5.755913123607454
127,5.754894373235524
128,5.75417023645746
129,5.753201869646402
130,5.7522833972864325
131,5.751399907380255
132,5.7504682455973954
133,5.749518872521995
134,5.748781739471579
135,5.747902984641254
136,5.746944415686343
137,5.746247623319882
138,5.745505934632171
139,5.744601791662794
140,5.743563334397043
141,5.742604297247066
142,5.7419937922652595
143,5.7410382986678785
144,5.740149694025698
145,5.739061213923871
146,5.738245567724618
147,5.736938660367928
148,5.735750502471238
149,5.734712984563537
150,5.733307156039869
151,5.7323217761637
